Accuracy,Sensitivity,Specificity,AUC,TP,FP,TN,FN
0.911007,0.851485,0.964444,0.907965,172,8,217,30
Accuracy,Sensitivity,Specificity,AUC,TP,FP,TN,FN
0.915691,0.875556,0.960396,0.917976,197,8,194,28
Accuracy,Sensitivity,Specificity,AUC,TP,FP,TN,FN
0.9274,0.896714,0.957944,0.927329,191,9,205,22
Accuracy,Sensitivity,Specificity,AUC,TP,FP,TN,FN
0.948478,0.941176,0.956311,0.948744,208,9,197,13
Accuracy,Sensitivity,Specificity,AUC,TP,FP,TN,FN
0.941452,0.960699,0.919192,0.939945,220,16,182,9
Accuracy,Sensitivity,Specificity,AUC,TP,FP,TN,FN
0.957845,0.951923,0.96347,0.957697,198,8,211,10
Accuracy,Sensitivity,Specificity,AUC,TP,FP,TN,FN
0.93911,0.919811,0.95814,0.938975,195,9,206,17
Accuracy,Sensitivity,Specificity,AUC,TP,FP,TN,FN
0.911007,0.850467,0.971831,0.911149,182,6,207,32
Accuracy,Sensitivity,Specificity,AUC,TP,FP,TN,FN
0.946136,0.973214,0.916256,0.944735,218,17,186,6
Accuracy,Sensitivity,Specificity,AUC,TP,FP,TN,FN
0.934426,0.905405,0.965854,0.93563,201,7,198,21
Accuracy,Sensitivity,Specificity,AUC,TP,FP,TN,FN
0.948478,0.938053,0.960199,0.949126,212,8,193,14
Accuracy,Sensitivity,Specificity,AUC,TP,FP,TN,FN
0.941452,0.931373,0.950673,0.941023,190,11,212,14
Accuracy,Sensitivity,Specificity,AUC,TP,FP,TN,FN
0.934426,0.89,0.973568,0.931784,178,6,221,22
Accuracy,Sensitivity,Specificity,AUC,TP,FP,TN,FN
0.934426,0.908213,0.959091,0.933652,188,9,211,19
